Date : 2025-04-06 01:09:05
Directory : c:\Users\kevin\OneDrive\Desktop\Proyecto de Programación\Proyectos Personales\webBCommerce\BCommerceFontEnd
Total : 174 files,  29287 codes, 2652 comments, 2656 blanks, all 34595 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| c:\Users\kevin\OneDrive\Desktop\Proyecto de Programación\Proyectos Personales\webBCommerce\BCommerceFontEnd\src\core\domain\entities\Invoice.ts                           | TypeScript         |        122 |         40 |         11 |        173 |
| c:\Users\kevin\OneDrive\Desktop\Proyecto de Programación\Proyectos Personales\webBCommerce\BCommerceFontEnd\src\core\domain\entities\Message.ts                           | TypeScript         |        108 |         38 |         11 |        157 |
| c:\Users\kevin\OneDrive\Desktop\Proyecto de Programación\Proyectos Personales\webBCommerce\BCommerceFontEnd\src\core\domain\entities\Notification.ts                      | TypeScript         |         56 |         24 |          7 |         87 |
| c:\Users\kevin\OneDrive\Desktop\Proyecto de Programación\Proyectos Personales\webBCommerce\BCommerceFontEnd\src\core\domain\entities\Order.ts                             | TypeScript         |         87 |         32 |          9 |        128 |
| c:\Users\kevin\OneDrive\Desktop\Proyecto de Programación\Proyectos Personales\webBCommerce\BCommerceFontEnd\src\core\domain\entities\Product.ts                           | TypeScript         |        100 |         18 |          7 |        125 |
| c:\Users\kevin\OneDrive\Desktop\Proyecto de Programación\Proyectos Personales\webBCommerce\BCommerceFontEnd\src\core\domain\entities\Rating.ts                            | TypeScript         |         84 |         25 |          7 |        116 |
| c:\Users\kevin\OneDrive\Desktop\Proyecto de Programación\Proyectos Personales\webBCommerce\BCommerceFontEnd\src\core\domain\entities\Seller.ts                            | TypeScript         |         85 |         30 |          8 |        123 |
| c:\Users\kevin\OneDrive\Desktop\Proyecto de Programación\Proyectos Personales\webBCommerce\BCommerceFontEnd\src\core\domain\entities\ShoppingCart.ts                      | TypeScript         |         65 |         33 |         10 |        108 |
| c:\Users\kevin\OneDrive\Desktop\Proyecto de Programación\Proyectos Personales\webBCommerce\BCommerceFontEnd\src\core\domain\entities\User.ts                              | TypeScript         |         70 |         27 |          8 |        105 |
| c:\Users\kevin\OneDrive\Desktop\Proyecto de Programación\Proyectos Personales\webBCommerce\BCommerceFontEnd\src\core\domain\entities\UserInteraction.ts                   | TypeScript         |         99 |         30 |          9 |        138 |
| c:\Users\kevin\OneDrive\Desktop\Proyecto de Programación\Proyectos Personales\webBCommerce\BCommerceFontEnd\src\core\domain\interfaces\IProductService.ts                 | TypeScript         |         19 |         30 |          9 |         58 |
| c:\Users\kevin\OneDrive\Desktop\Proyecto de Programación\Proyectos Personales\webBCommerce\BCommerceFontEnd\src\core\domain\interfaces\IUserRepository.ts                 | TypeScript         |         16 |         24 |          7 |         47 |
| c:\Users\kevin\OneDrive\Desktop\Proyecto de Programación\Proyectos Personales\webBCommerce\BCommerceFontEnd\src\core\domain\valueObjects\Address.ts                       | TypeScript         |          0 |          0 |          1 |          1 |
| c:\Users\kevin\OneDrive\Desktop\Proyecto de Programación\Proyectos Personales\webBCommerce\BCommerceFontEnd\src\core\domain\valueObjects\Money.ts                         | TypeScript         |          0 |          0 |          1 |          1 |
| c:\Users\kevin\OneDrive\Desktop\Proyecto de Programación\Proyectos Personales\webBCommerce\BCommerceFontEnd\src\core\services\AuthService.ts                              | TypeScript         |        329 |         87 |         80 |        496 |
| c:\Users\kevin\OneDrive\Desktop\Proyecto de Programación\Proyectos Personales\webBCommerce\BCommerceFontEnd\src\core\services\CategoryService.ts                          | TypeScript         |        337 |         54 |         67 |        458 |
| c:\Users\kevin\OneDrive\Desktop\Proyecto de Programación\Proyectos Personales\webBCommerce\BCommerceFontEnd\src\core\services\ProductService.ts                           | TypeScript         |        356 |         61 |         54 |        471 |
| c:\Users\kevin\OneDrive\Desktop\Proyecto de Programación\Proyectos Personales\webBCommerce\BCommerceFontEnd\src\core\services\RecommendationService.ts                    | TypeScript         |          0 |          0 |          1 |          1 |
| c:\Users\kevin\OneDrive\Desktop\Proyecto de Programación\Proyectos Personales\webBCommerce\BCommerceFontEnd\src\core\useCases\product\CreateProductUseCase.ts             | TypeScript         |          0 |          0 |          1 |          1 |
| c:\Users\kevin\OneDrive\Desktop\Proyecto de Programación\Proyectos Personales\webBCommerce\BCommerceFontEnd\src\core\useCases\product\GetProductDetailsUseCase.ts         | TypeScript         |          0 |          0 |          1 |          1 |
| c:\Users\kevin\OneDrive\Desktop\Proyecto de Programación\Proyectos Personales\webBCommerce\BCommerceFontEnd\src\core\useCases\product\SearchProductsUseCase.ts            | TypeScript         |         11 |          2 |          3 |         16 |
| c:\Users\kevin\OneDrive\Desktop\Proyecto de Programación\Proyectos Personales\webBCommerce\BCommerceFontEnd\src\core\useCases\user\LoginUseCase.ts                        | TypeScript         |         33 |         15 |          9 |         57 |
| c:\Users\kevin\OneDrive\Desktop\Proyecto de Programación\Proyectos Personales\webBCommerce\BCommerceFontEnd\src\core\useCases\user\RegisterUseCase.ts                     | TypeScript         |         36 |         16 |         10 |         62 |
| c:\Users\kevin\OneDrive\Desktop\Proyecto de Programación\Proyectos Personales\webBCommerce\BCommerceFontEnd\src\core\useCases\user\UpdateProfileUseCase.ts                | TypeScript         |         30 |         14 |          7 |         51 |
| c:\Users\kevin\OneDrive\Desktop\Proyecto de Programación\Proyectos Personales\webBCommerce\BCommerceFontEnd\src\infrastructure\api\apiClient.ts                           | TypeScript         |        214 |         87 |         56 |        357 |
| c:\Users\kevin\OneDrive\Desktop\Proyecto de Programación\Proyectos Personales\webBCommerce\BCommerceFontEnd\src\infrastructure\api\axiosConfig.ts                         | TypeScript         |        107 |         23 |         28 |        158 |
| c:\Users\kevin\OneDrive\Desktop\Proyecto de Programación\Proyectos Personales\webBCommerce\BCommerceFontEnd\src\infrastructure\api\endpoints.ts                           | TypeScript         |          0 |          0 |          1 |          1 |
| c:\Users\kevin\OneDrive\Desktop\Proyecto de Programación\Proyectos Personales\webBCommerce\BCommerceFontEnd\src\infrastructure\repositories\HttpProductRepository.ts      | TypeScript         |          0 |          0 |          1 |          1 |
| c:\Users\kevin\OneDrive\Desktop\Proyecto de Programación\Proyectos Personales\webBCommerce\BCommerceFontEnd\src\infrastructure\repositories\HttpUserRepository.ts         | TypeScript         |         47 |          6 |          8 |         61 |
| c:\Users\kevin\OneDrive\Desktop\Proyecto de Programación\Proyectos Personales\webBCommerce\BCommerceFontEnd\src\infrastructure\services\CacheService.ts                   | TypeScript         |         41 |         24 |          8 |         73 |
| c:\Users\kevin\OneDrive\Desktop\Proyecto de Programación\Proyectos Personales\webBCommerce\BCommerceFontEnd\src\infrastructure\services\HttpAuthService.ts                | TypeScript         |          0 |          0 |          1 |          1 |
| c:\Users\kevin\OneDrive\Desktop\Proyecto de Programación\Proyectos Personales\webBCommerce\BCommerceFontEnd\src\infrastructure\services\LocalStorageService.ts            | TypeScript         |         48 |         29 |          6 |         83 |
| c:\Users\kevin\OneDrive\Desktop\Proyecto de Programación\Proyectos Personales\webBCommerce\BCommerceFontEnd\src\infrastructure\services\PrefetchService.ts                | TypeScript         |        117 |         32 |         21 |        170 |
| c:\Users\kevin\OneDrive\Desktop\Proyecto de Programación\Proyectos Personales\webBCommerce\BCommerceFontEnd\src\infrastructure\services\RoleService.ts                    | TypeScript         |         79 |         29 |         16 |        124 |
| c:\Users\kevin\OneDrive\Desktop\Proyecto de Programación\Proyectos Personales\webBCommerce\BCommerceFontEnd\src\main.tsx                                                  | TypeScript JSX     |         55 |          5 |          5 |         65 |
| c:\Users\kevin\OneDrive\Desktop\Proyecto de Programación\Proyectos Personales\webBCommerce\BCommerceFontEnd\src\presentation\components\FAQ\FAQBase.tsx                   | TypeScript JSX     |        139 |         13 |         17 |        169 |
| c:\Users\kevin\OneDrive\Desktop\Proyecto de Programación\Proyectos Personales\webBCommerce\BCommerceFontEnd\src\presentation\components\common\ApiChecker.tsx             | TypeScript JSX     |        141 |          5 |         20 |        166 |
| c:\Users\kevin\OneDrive\Desktop\Proyecto de Programación\Proyectos Personales\webBCommerce\BCommerceFontEnd\src\presentation\components\common\ApiDebugger.tsx            | TypeScript JSX     |        203 |         23 |         25 |        251 |
| c:\Users\kevin\OneDrive\Desktop\Proyecto de Programación\Proyectos Personales\webBCommerce\BCommerceFontEnd\src\presentation\components\common\Button.tsx                 | TypeScript JSX     |          0 |          0 |          1 |          1 |
| c:\Users\kevin\OneDrive\Desktop\Proyecto de Programación\Proyectos Personales\webBCommerce\BCommerceFontEnd\src\presentation\components\common\Categories.tsx             | TypeScript JSX     |         45 |          0 |          7 |         52 |
| c:\Users\kevin\OneDrive\Desktop\Proyecto de Programación\Proyectos Personales\webBCommerce\BCommerceFontEnd\src\presentation\components\common\Footer.tsx                 | TypeScript JSX     |        162 |         12 |         15 |        189 |
| c:\Users\kevin\OneDrive\Desktop\Proyecto de Programación\Proyectos Personales\webBCommerce\BCommerceFontEnd\src\presentation\components\common\Header.tsx                 | TypeScript JSX     |        342 |         30 |         32 |        404 |
| c:\Users\kevin\OneDrive\Desktop\Proyecto de Programación\Proyectos Personales\webBCommerce\BCommerceFontEnd\src\presentation\components\common\ImageSlider.tsx            | TypeScript JSX     |         92 |          9 |         14 |        115 |
| c:\Users\kevin\OneDrive\Desktop\Proyecto de Programación\Proyectos Personales\webBCommerce\BCommerceFontEnd\src\presentation\components\common\Input.tsx                  | TypeScript JSX     |          0 |          0 |          1 |          1 |
| c:\Users\kevin\OneDrive\Desktop\Proyecto de Programación\Proyectos Personales\webBCommerce\BCommerceFontEnd\src\presentation\components\common\PriceRangeInput.tsx        | TypeScript JSX     |         71 |          4 |         10 |         85 |
| c:\Users\kevin\OneDrive\Desktop\Proyecto de Programación\Proyectos Personales\webBCommerce\BCommerceFontEnd\src\presentation\components\common\ProductCards.tsx           | TypeScript JSX     |         90 |          9 |         10 |        109 |
| c:\Users\kevin\OneDrive\Desktop\Proyecto de Programación\Proyectos Personales\webBCommerce\BCommerceFontEnd\src\presentation\components\common\RatingStars.tsx            | TypeScript JSX     |         60 |          2 |          7 |         69 |
| c:\Users\kevin\OneDrive\Desktop\Proyecto de Programación\Proyectos Personales\webBCommerce\BCommerceFontEnd\src\presentation\components\common\TextSlider.tsx             | TypeScript JSX     |         72 |          5 |         11 |         88 |
| c:\Users\kevin\OneDrive\Desktop\Proyecto de Programación\Proyectos Personales\webBCommerce\BCommerceFontEnd\src\presentation\components\common\ThemeToggle.tsx            | TypeScript JSX     |         24 |          3 |          4 |         31 |
| c:\Users\kevin\OneDrive\Desktop\Proyecto de Programación\Proyectos Personales\webBCommerce\BCommerceFontEnd\src\presentation\components\common\WhyUs.tsx                  | TypeScript JSX     |         36 |          0 |          5 |         41 |
| c:\Users\kevin\OneDrive\Desktop\Proyecto de Programación\Proyectos Personales\webBCommerce\BCommerceFontEnd\src\presentation\components\dashboard\BaseDashboardLayout.tsx | TypeScript JSX     |         69 |         22 |         16 |        107 |
| c:\Users\kevin\OneDrive\Desktop\Proyecto de Programación\Proyectos Personales\webBCommerce\BCommerceFontEnd\src\presentation\components\dashboard\DashboardContext.tsx    | TypeScript JSX     |        146 |         27 |         34 |        207 |
| c:\Users\kevin\OneDrive\Desktop\Proyecto de Programación\Proyectos Personales\webBCommerce\BCommerceFontEnd\src\presentation\components\dashboard\DashboardFooter.tsx     | TypeScript JSX     |         35 |         13 |          7 |         55 |
| c:\Users\kevin\OneDrive\Desktop\Proyecto de Programación\Proyectos Personales\webBCommerce\BCommerceFontEnd\src\presentation\components\dashboard\DashboardHeader.tsx     | TypeScript JSX     |        260 |         20 |         27 |        307 |
| c:\Users\kevin\OneDrive\Desktop\Proyecto de Programación\Proyectos Personales\webBCommerce\BCommerceFontEnd\src\presentation\components\dashboard\DashboardPagination.tsx | TypeScript JSX     |         88 |          3 |         15 |        106 |
| c:\Users\kevin\OneDrive\Desktop\Proyecto de Programación\Proyectos Personales\webBCommerce\BCommerceFontEnd\src\presentation\components\dashboard\GroupLinkSideBar.tsx    | TypeScript JSX     |         32 |          0 |          9 |         41 |
| c:\Users\kevin\OneDrive\Desktop\Proyecto de Programación\Proyectos Personales\webBCommerce\BCommerceFontEnd\src\presentation\components\dashboard\LinkSideBar.tsx         | TypeScript JSX     |         36 |          0 |          8 |         44 |
| c:\Users\kevin\OneDrive\Desktop\Proyecto de Programación\Proyectos Personales\webBCommerce\BCommerceFontEnd\src\presentation\components\dashboard\SideBar.tsx             | TypeScript JSX     |         98 |         20 |         13 |        131 |
| c:\Users\kevin\OneDrive\Desktop\Proyecto de Programación\Proyectos Personales\webBCommerce\BCommerceFontEnd\src\presentation\components\dashboard\Table.tsx               | TypeScript JSX     |        197 |          9 |         16 |        222 |
| c:\Users\kevin\OneDrive\Desktop\Proyecto de Programación\Proyectos Personales\webBCommerce\BCommerceFontEnd\src\presentation\components\dashboard\index.ts                | TypeScript         |         12 |          3 |          4 |         19 |
| c:\Users\kevin\OneDrive\Desktop\Proyecto de Programación\Proyectos Personales\webBCommerce\BCommerceFontEnd\src\presentation\components\product\ActiveFilters.tsx         | TypeScript JSX     |        135 |          8 |         12 |        155 |
| c:\Users\kevin\OneDrive\Desktop\Proyecto de Programación\Proyectos Personales\webBCommerce\BCommerceFontEnd\src\presentation\components\product\CategoriesCarousel.tsx    | TypeScript JSX     |        167 |         14 |         19 |        200 |
| c:\Users\kevin\OneDrive\Desktop\Proyecto de Programación\Proyectos Personales\webBCommerce\BCommerceFontEnd\src\presentation\components\product\CategoriesProduct.tsx     | TypeScript JSX     |         53 |          3 |          8 |         64 |
| c:\Users\kevin\OneDrive\Desktop\Proyecto de Programación\Proyectos Personales\webBCommerce\BCommerceFontEnd\src\presentation\components\product\CategoryFilterSection.tsx | TypeScript JSX     |        123 |          3 |         15 |        141 |
| c:\Users\kevin\OneDrive\Desktop\Proyecto de Programación\Proyectos Personales\webBCommerce\BCommerceFontEnd\src\presentation\components\product\DiscountFilterSection.tsx | TypeScript JSX     |         64 |          3 |          5 |         72 |
| c:\Users\kevin\OneDrive\Desktop\Proyecto de Programación\Proyectos Personales\webBCommerce\BCommerceFontEnd\src\presentation\components\product\FilterSection.tsx         | TypeScript JSX     |         35 |          3 |          4 |         42 |
| c:\Users\kevin\OneDrive\Desktop\Proyecto de Programación\Proyectos Personales\webBCommerce\BCommerceFontEnd\src\presentation\components\product\MobileFilterPanel.tsx     | TypeScript JSX     |        171 |         10 |         14 |        195 |
| c:\Users\kevin\OneDrive\Desktop\Proyecto de Programación\Proyectos Personales\webBCommerce\BCommerceFontEnd\src\presentation\components\product\MobilePagination.tsx      | TypeScript JSX     |         85 |         16 |         13 |        114 |
